ATK-terminaal	ATK-terminaal+N+Sg+Nom
kerjideijee	kerjideijee+N+NomAg+Sg+Nom
kerjideijee	kerjidiđ+V+PrsPrc
kerjideijee	kerjidiđ+V+Der/NomAg+N+Sg+Nom


keččâlittiđ	keččâđ+V+Der/l+V+Der/Caus+V+Inf
keččâlittiđ	keččâliđ+V+Der/Caus+V+Inf
keččâlittiđ	keččâlittiđ+V+Inf

kiemâpuálččimieđâš	kiemâpuálččimieđâš+N+Sg+Nom

kiepâsodâsteijee	kiepâ+N+Cmp/SgNom+Cmp#sodâstiđ+V+Der/NomAg+N+Sg+Nom
kiepâsodâsteijee	kiepâsodâsteijee+N+NomAg+Sg+Nom

kietkâmläbži	kietkâđ+V+Der/NomAct+N+Cmp/SgGen+Cmp#läbži+N+Sg+Nom
kietkâmläbži	kietkâđ+V+Der/NomAct+N+Cmp/SgNom+Cmp#läbži+N+Sg+Nom
kietkâmläbži	kietkâmläbži+N+Sg+Nom
kietkâmläbži	kietkâm+N+Cmp/SgGen+Cmp#läbži+N+Sg+Nom
kietkâmläbži	kietkâm+N+Cmp/SgNom+Cmp#läbži+N+Sg+Nom

kietkâmvuáđu	kietkâđ+V+Der/NomAct+N+Cmp/SgGen+Cmp#vuáđu+N+Sg+Nom
kietkâmvuáđu	kietkâđ+V+Der/NomAct+N+Cmp/SgNom+Cmp#vuáđu+N+Sg+Nom
kietkâmvuáđu	kietkâm+N+Cmp/SgGen+Cmp#vuáđu+N+Sg+Nom
kietkâmvuáđu	kietkâm+N+Cmp/SgNom+Cmp#vuáđu+N+Sg+Nom
kietkâmvuáđu	kietkâmvuáđu+N+Sg+Nom

kietkâmâspärni	kietkâmâspärni+N+Sg+Nom

kissákyeli	kissá+N+Cmp/SgNom+Cmp#kyeli+N+Sg+Nom
kissákyeli	kissákyeli+N+Sg+Nom


kiäpuhäldeelukkâ	kiäpuhäldeelukkâ+N+Sg+Nom

kiärdulivkkár	kiärdu+N+Cmp/SgGen+Cmp#livkkár+N+Sg+Nom
kiärdulivkkár	kiärdu+N+Cmp/SgNom+Cmp#livkkár+N+Sg+Nom
kiärdulivkkár	kiärdulivkkár+N+Sg+Nom

kiärdulâš	kiärdulâš+A+Sg+Nom
kiärdulâš	kiärdulâš+A+Attr
kiärdulâš	kiärdu+N+Der/Nom+Der/lasj+A+Sg+Nom
kiärdulâš	kiärdu+N+Der/Nom+Der/lasj+A+Attr
kiärdulâš	kiärdu+N+Der/lasj+A+Sg+Nom
kiärdulâš	kiärdu+N+Der/lasj+A+Attr

kiärdášumvuotâ	kiärdášumvuotâ+N+Sg+Nom



koccáámâš	koccáđ+V+Der/mas+N+Sg+Nom
koccáámâš	koccáámâš+N+Sg+Nom

kodos	koddeđ+V+Imprt+Sg3

koldee	koldeđ+V+PrsPrc
koldee	koldeđ+V+Imprt+Du2
koldee	koldeđ+V+Der/NomAg+N+Sg+Nom
koldee	koldee+N+Sg+Nom



kolpâttiđ	kolpâttiđ+V+Imprt+Pl2
kolpâttiđ	kolpâttiđ+V+Inf

komolistiđ	komolistiđ+V+Inf


koozzâh	koozzâh+N+Sg+Nom


korrâsino	korrâ+N+Cmp/SgNom+Cmp#sino+N+Sg+Nom
korrâsino	korrâsino+N+Sg+Nom

korrâsubbooht	korrâsubbooht+Adv

korundi	korundi+N+Sg+Nom

kossânjunkiärttusâš	kossânjunkiärttusâš+N+Sg+Nom

kovdee	kovdee+A+Attr
kovdee	kovdee+A+Sg+Nom
kovdee	kuvdâđ+V+PrsPrc
kovdee	kuvdâđ+V+Der/NomAg+N+Sg+Nom
kovdee	kuvdâđ+V+Imprt+Du2

kozzâh	kozzâh+N+Sg+Nom

kozzâlakkleivosâš	kozzâlakkleivosâš+N+Sg+Nom

koškeoijâgâs	koškeoijâgâs+N+Sg+Nom
koškeoijâgâs	koškes+A+Cmp/Attr+Cmp#oijâgâs+N+Sg+Nom


kubdâčuárvi	kubduv+A+Cmp/Attr+Cmp#čuárvi+N+Sg+Nom
kubdâčuárvi	kubdâčuárvi+N+Sg+Nom

kufettâr	kufettâr+N+Sg+Nom

kufittâr	kufittâr+N+Sg+Nom

kuhessálvu	kukke+A+Cmp/Attr+Cmp#sálvu+N+Sg+Nom
kuhessálvu	kuhessálvu+N+Sg+Nom

kulgâdâhviermi	kulgâdâhviermi+N+Sg+Nom

kulhijduđ	kulhijduđ+V+IV+Inf
kulhijduđ	kulhijduđ+V+IV+Imprt+Pl2

kumârâsčuárvi	kumârâsčuárvi+N+Sg+Nom

kuokšisruottâsâš	kuokšisruottâsâš+N+Sg+Nom

kuovgispuájui	kuovgâd+A+Cmp/Attr+Cmp#puájui+N+Sg+Nom
kuovgispuájui	kuovgispuájui+N+Sg+Nom

kuovgissuperuávsku	kuovgâd+A+Cmp/Attr+Cmp#supe+N+Cmp/SgNom+Cmp#ruávsku+N+Sg+Nom
kuovgissuperuávsku	kuovgâd+A+Cmp/Attr+Cmp#superuávsku+N+Sg+Nom
kuovgissuperuávsku	kuovgissuperuávsku+N+Sg+Nom



kurmápuárui	kurmápuárui+N+Sg+Nom


kuámmáristiđ	kuámmáristiđ+V+Inf


kuástuđ	kuástuđ+V+Inf
kuástuđ	kuástuđ+V+Imprt+Pl2


kuáŋulyevdi	kuáŋulyevdi+N+Sg+Nom

kuáŋŋulyevdi	kuáŋŋulyevdi+N+Sg+Nom

kyeddidäiđi	kyeddidäiđi+N+Sg+Nom

kyedittem	kyeddiđ+V+Der/tt+V+Actio+Nom
kyedittem	kyeddiđ+V+Der/tt+V+Der/NomAct+N+Sg+Nom
kyedittem	kyedittiđ+V+Actio+Nom
kyedittem	kyedittiđ+V+Der/NomAct+N+Sg+Nom
kyedittem	kyedittem+N+Sg+Nom

kyelettem	kyeli+N+Der/Car+A+Sg+Nom
kyelettem	kyelettem+A+Sg+Nom

kyermis	kyermi+N+Sg+Gen+PxDu3
kyermis	kyermi+N+Sg+Gen+PxPl3
kyermis	kyermi+N+Sg+Gen+PxSg3
kyermis	kyermi+N+Sg+Nom+PxDu3
kyermis	kyermi+N+Sg+Nom+PxPl3
kyermis	kyermi+N+Sg+Nom+PxSg3
kyermis	kyermis+A+Attr
