Aaltokari — Áldukárgu (EA)
Ahvenjärvi — Vuáskujáávráš ~ Vuáskujävri (1, EA)
Ahvenjärvi — Vuáskujävri (HM)
Ahvenjärvi — Vuáskujävri (JAM Ǩ003)
Ahvenkutujärvenharju — Vuásku­ kođojävrpuolžâ (3832, JAM Ǩ003)
Ahvenkutujärvi — Vuáskukođojävri)
Ahvenlahti — Vuáskuluohtâ (IW Ǩ000)
Ahvenlampi — Vuáskujáávráš (1)
Ahvenniemi — Vuáskunjargâ (YAS Ǩ005)
Ahvenselkä — Vuáskuvärčielgi (SA 1964)
Ahvenselkä — Vuáskučielgi (4812)
Ahvenvaara — Vuáskujávráávääri (1)
Ahvenvaara — Vuáskujávráávääri ~ Vuáskujávrááváárááš (1, EA)
Ahvenvaara — Vuáskuvääri (SA 1964)
Ahvenvaara — Vuáskuváárááš (3834)
Ahvenvaaranlahti — Vuáskuvááráá­ luohtâ (TII 1963)
Ahvenvuopajat — Vuáskuvyeppeeh)
Aibutsaari — Aibuđuusuálui (ML 1982)
Aibutvuono — Aibuđuuvuonâ (EA)
Aikahaara — Äigisyeri (LL 1981)
Aikahaaralaassa — Äigisyerlássá (LL 1981)
Aikionlahti — Áigááluohtâ — Aikio­ luhtt (1, MML)
Aikionniemi — Áigáánjargâ — Aikion­ jargg (1, MML)
Ailinsaari — Aailâsuáloi (IW Ǩ000)
Ailivaara — Aailâváárááš (HTV)
Aironvääntämäsaari — Áirupuunn­ jâmsuálui — Äirrtaibbõmsuâl (SA 1964, JM)
Airuskuru — Airâškurrâ (LL 1981)
Aitajärvet — Äiđijávrááh (Ǩ)
Aitajärvet — Äiđijávrááh ~ Kärdi­ jávrááh (AVV)
Aitajärvi — Äiddjäu ́rr (MML, JM)
Aitalahti — Äiđiluohtâ ~ Manjeluoh­ tâ (SA 1964, AK)
Aitalahti — Äiđiluohtâ (1, HTV)
Aitalahti — Äiđiluohtâ (SA 1964)
Aitamaa — Äiđieennâm (3832)
Aitavaara — Äiđiváárááš (LL 1977)
Aittalaassa — Äittilássá (EA)
Aittalaassa — Äittiláássáš (EA)
Aittalaassa — Äittilássá (YAS)
Aittalahdenjärvi — Äittijáávráš (1)
Aittalahti — Ááitášluohtâ (SA 1964)
Aittalahti — Äittiluohtâ (1)
Aittalompola — Äittiluobâl (3832, JAM Ǩ003)
Aittasaaret — Äittisuolluuh (SA 1964)
Aittasaari — Äittisuálui (4812)
Aittasaari — Äittilássááh (MML, JMS Ǩ005)
Akalauttajoki — Ákálávttáájuuvâš)
Akalauttalompola — Ákálávttááluo­ bâl ~ Läävdisluobâl (SA 1964, HTV)
Akalauttapää — Ákálávttááuáiváš ~ Kálgupuárreeuáiváš (3834, SA 1964)
Akanpahta — Áhupáávtáš ~ Káálgu­ pähti (TII 1963, MV Ǩ003, MML)
Akanpahtaniemi — Áhupávttáánjargâ ~ Káálgupähtinjargâ (YAS, MML)
Akanpahtasalmi — Áhupávttááčuálmi ~ Káálgupähtičuálmi (YAS, MML)
Akkalahti — Kálguluohtâ (1)
Akkasaaret — Kálgusuolluuh (1)
Akkasaari — Kálgusuolluš (3834)
Akku — Ákku (3832)
Akujärvi — Áhujävri (3832, I)
Akujoki — Áhujuuhâ (3832)
Akukaita — Áhujävrskäiđi (TII 1963)
Akulahti — Áhuluohtâ (Ǩ)
Akunalusjärvi — Áhuvuáláášjävri)
Akuniemi — Áhunjargâ (Ǩ)
Akuniemi — Áhunjargâ (LL 1981, JMK Ǩ003)
Akunsalmi — Áhučuálmi — Áhku­ čoalbmi — Akučuä ́lmm (EPA)
Akupää — Áhu­uáiváš (TII 1963)
Akusaari — Riddo­Áhusuálui (SA 1963)
Akusalmi — Áhučuálmi (MS)
Alajärvi — Vyelijävri (1, SA 1964)
Alajärvi — Vyelemusjävri (3832)
Alajärvi — Vyelijävri (TII 1963)
Alajoki — Vyelijuuhâ (TII 1963)
Alakoski — Vyelikuoškâ (1, SA 1964)
Alakoski — Vyelemuskuoškâ (TII 1963)
Alalompola — Vyelemus Kuortahluo­ bâl (1)
Alalompola — Vyeliluobâl (JAM Ǩ003)
Alaniva — Vyelemusnjeeri (LL 1977, TII 1963)
Alasaaret — Vyelesuolluuh (1)
Alasaartensalmi — Vyelesuolluičuálmi)
Alasuvanto ~ Jänissuvanto — Mielgâs­ timsavo (RP 1991, TII 1963)
Ala­Koppelo — Vyeli­Kuáppil (TII/Uu- la Morottaja 1945)
Ala­Sieksijärvi — Vyeli­Sieksjävri ~ Vyeli­Šieksjävri (SA 1963)
Ala­Turvejärvi — Vyelebuš Lav1ejävri)
Alempi Ahmajärvi — Vyelebâš Kiäđ­ hášjävri (4812)
Alempi Akujärvi — Vyeli­Áhujävri)
Alempi Juoksemajärvi — Vyeleeb Kač­ čâlemjävri ~ Vuálábuš Kaččâlemjävri (3834, SA 1964)
Alempi Katosjärvi — Vue ́lab Kääđas­ jäu ́rr (MML)
Alempi Lauttajärvi — Vyelebuš Läv­ disjävri (SA 1964)
Alempi Nilijärvi — Vyelebuš Njolâs­ jävri (3834)
Alempi Sivakkajärvi — Vyelebuš Saa­ veehjävri (SA 1964)
Alempi Taimenjärvi — Vyelebâš Kuáv­ žurjävri (3834)
Alimmainen Aittajärvi — Vyelemus Äittijävri — Vuâlmõs Äittjäu ́rr (MML)
Alimmainen Kettujärvi — Vyelemus Riämnjájáávráš (3834)
Alimmainen Mukkajärvi — Vyeleeb Mokkejáávráš (YAS)
Alimmainen Patajärvi — Vue ́lmõs Ǩie ́mnnjäu ́rr (MML, JM)
Alimmainen Porijärvi — Vyeleeb Pore­ jävri (1)
Alimmainen Pyhäjärvi — Vyelebuš Pasejävri (1)
Alimmainen Tuolpujärvi — Vyeleeb Tuolbâjävri (MML,  Ǩ+ 1)
Alimmainenjärvi — Vyeleebjävri ~ Vuáláábjävri ~ Vyelijävri ~ Vyelijáávráš (YAS, SA 1964)
Alimmainenjärvi — Vyelemusjáávráš (SA 1964)
Alppasaari — Alppaasuálui ~ Álp­ páásuálui (1, EA)
Alumalompola ~ Aulumalompola ~ Kotijärvi — Avlumjävri ~ Avnâmjävri (3832, SYK 1899, TII 1963)
Alumavaara — Avnâmváárááš (TII 1963)
Ampiaiskallio — Viäpsákällee (YAS)
Ampumarata — Pääččimrađe (3834)
Ampumarata — Pääččimrađe (MML)
Ampumarata — Pääččimrađe (NIM)
Ampumarata — Pääččimrađe (NIM)
Ampumaselkä — Pääččimčielgi (TII 1963)
Andreasnuora — Addrâsnuárááš)
Anna Greetan järvet — Anna Greeta jääu ́r (MML)
Annan Apajalahti — Ánnáávärppi)
Annan Apajasaari — Ánnáásuálui (YAS Ǩ005)
Annan Kotajärvi — Ááná Kuátsai­ jävri ~ Ááná Kuátsaijáávráš (1, EA)
Annanjärvenlahti — Ánnáájävrluoh­ tâ — Ä ́nnjäu ́rluhtt (JMS Ǩ005, MML)
Annanjärvi ~ Annijärvi — Ánnáá­ jáávráš ~ Áánájáávráš — Ä ́nnjääuraž (MML, SA 1963, JMS Ǩ005, JM 1998)
Annankapeikko — Áánnášpohe (1, HTV)
Annanlahti — Ánnááluohtâ (1, SA 1964)
Annanlahti — Áánnášluohtâ ~ Äännišluohtâ (3834)
Annijärvi — Äännijävri ~ Ännjáávráš (SA 1964, SAK Ǩ004)
Annilaassa — Ánnáálássá (YAS)
Annilahti — Ánnááluohtâ (YAS)
Annin Jäkälännostamajärvi — Ánnáá Jävilkoccoomjáávráš (03, SA 1964)
Annivaara — Ánnááváárááš — Ä ́nn­ väärr (JMS Ǩ005)
Ansasaaret — Kárdumsuolluuh (1, AS)
Antin Pyytämäjärvet — Aanti Pivdem­ jäävrih ~ Aantipivden Vuáskujávrááh)
Antin Taimenjärvi — Antin Ku ́vˆˆ­ jäu ́rr (MML Ǩ006)
Antinhukkumasaari — Aantihevvâ­ nemsuálui (YAS)
Antinvuopaja — Aantivyeppee (1, VS)
Antti­Petterin vaara ~ Antti­Petterin pyörähtämävaara — Antti­Petter vääri (3832, JMK Ǩ003)
Apajalahti — Värppiluohtâ (1)
Apinavaara — Čáháligvääri (SA 1964)
Appelsiinilampi — Appelsiinnluubâl)
Arttajärvet — Árttáájäävrih (SA 1964)
Arttasaaret — Árttáásuolluuh ~ Ärt­ teesuolluuh (1, EV/HTV)
Asentojärvi — Iälusaijävri (3834)
Aslakinlentämäjärvi — Aaslâkkir­ demjävri — Aaslak3e ́rddemjäu ́rr (MML,  Ǩ+ 1, JM)
Aukkuljärvi — Avkkâljävri (1)
Aunen Matin saari — Avnii Maati suá­ lui (YAS)
Auttojänkä — Kuovlâjeggi (1)
Aviaispää — Avjus ~ Avjusuáivi ~ Avjustuodâr (LL 1981)
Aviosaaret — Avgâdlássááh (1)
Ä ́jjääuraž — Äijihjáávráš (KN)
Äälisjärvi — Äälisjävri — Äälisjäu ́rr)
Äälisselkä — Äälisuáivi — Äälisčiõ ́lj)
Áhusuolluuh (TII 1963)
Äijän Tulisijajärvet — Äijih Tullâsai­ jávrááh (Ǩ)
Äinäläsaari — Áináláásuálui (SA 1964)
Ceenlampi — Ceenluubbâl (MML)
Eemelinsaari — Eemelsuáloi (IW Ǩ000)
Einari — Misseedâh (TII 1963)
Einejärvi ~ Äimäjärvi — Einehjáávráš ~ Ääinigjävri (TII 1963,  1)
Elinajärvi — Eellimjáávráš (1)
Elinalahti — Eellimluohtâ (1)
Elinaniemi — Eellimnjargâ (EA)
Elinasaari — Eellimsuálui (1)
Elinavaara — Eellimváárááš (1)
Ellilahti — Eeliluohtâ (MV Ǩ003)
Erotusaita — Pygálusäiđi (3832, NIM)
Erotusaita — Pygálusäiđi (3834, YAS)
Erotusaita — Pygálusäiđi (3834, YAS)
Erotusaita ~ Raja­Joosepin erotusai­ ta — Bigálusáiđi — Pygálusäiđi (38ǩǩ+4811, NIM)
Erotusaita ~ Semekurtan erotusaita — Pikalõsäidd (Ǩ; JM)
Eteläoivi — Mäddeebvääri — Saujj­ vää ́rr (1, MML)
Etelä­Aunio — Ávŋuluohtâ (LL 1981, AWG 1901)
Fadderjärvi — Faadârjävri (1/1977,  1/2000)
Faddervuono ~ Fattervuono ~ Vaah­ torivuono — Faadârvuonâ (EA)
Haapajärvet — Supejávrááh (Ǩ)
Haapakoski — Supekuoškâ (TII 1963)
Haapakuru — Supenjuáski (SA 1964)
Haapalahti — Supeluohtâ (AS)
Haapalahti ~ Raiviolahti — Supeluoh­ tâ (LL 1977, ML 1982)
Haapaniemi — Supenjargâ (LL 1977)
Haapasaari — Supesuálui (1)
Haapasaari — Supesuálui (SA 1963)
Haapasuvanto — Supesavo ~ Jesmi­ luovtsavo (TII 1963)
Haapavuono — Suvisluohtâ ~ Supe­ vuonâ (AS)
Haapavuono — Supevuonâš (SA 1964)
Haapavuopaja — Supevyeppee (1, YAS)
Haapavuopajansaari — Supevyeppee­ suálui (1, YAS)
Haikarakivi ~ Iunakankivi — Ivnát­ keđgi (KL)
Halstimajängän Perävaara ~ Perä­ vaara — Halstâmjeggipottváárááš (LL 1977)
Halstimajänkä — Halstâmjeggi (LL 1977)
Halstimaoja — Halstâmjuuvâš (LL 1977)
Halstimavaara — Halstâmváárááš ~ Halstâmvääri (LL 1977)
Hammasjärvi — Päänijävri ~ Pänijäv­ ri — Pää ́nnjäu ́rr (1, JM 1998)
Hammaspitkäjärvi — Päännku3es­ jäu ́rr (MML, JM)
Hangasjärvi — Äägisvärjáávráš (3834)
Hangasjärvi — Piärtušmjävri (SA 1964)
Hangasjärvi ~ Pertmusjärvi — Piär­ tušmjävri (SA 1964, MML,  Ǩ+ 1)
Hangasvaara — Äägisvääri (3832)
Hangasvalkamajärvi — Piärtušm­ sátkujáávráš (JAM Ǩ003)
Hanhenkeittämäniemi — Čuánjávuoš­ šâmnjargâ (YAS)
Hanhijärvi — Čuánnjáájáávráš (3834)
Hanhijärvi — Čuánjájävri (1)
Hanhijärvi — Pajebâš Kiäđhášjävri (MML, SA 1964)
Hanhijoki ~ Hanhioja — Čuánnjáá­ juuvâš (3834)
Hanhilampi — Čuá1ájáávráš (1, SA 1964)
Hanhivaara — Čuánnjáávääri (3834)
Hanhivuotso — Čuánjávuáčču ~ Čuá­ 1ávuáčču — Čue ́njvuõccu (JM)
Hannun Kotajärvi — Haanu Kuátsai­ jáávráš (1)
Hannun Kotavaara — Haanu Kuáti­ vääri (1,  Ǩ)
Hannunpääkari — Hannuupänkár­ gu (YAS)
Hanosjärvi — Huonâsjáávráš (MML,  Ǩ+ 1)
Haravajärvi — Hááráávjävri — Hää ́ravjäu ́rr (1, MML)
Harju — Viõrr (JM)
Harju — Viõrr (JM)
Harjujärvi — Puolžâjävri (3834)
Harjukatkomajärvi — Viõrrpuâtki­ jäu ́rr (MML, JM)
Harjulampi — Viõrrluubbâl (MML Ǩ006, JM)
Harjunkatkomajärvi — Puolžâpotkâ­ nâmjävri — Viõrrpuâtkijäu ́rr (Ǩ +  1)
Harjuntausjärvi — Viõrrtuâǥǥaž­ jääuraž (MS)
Harrijärvet — Suä ́vveljääu ́r (MML Ǩ006)
Harrijärvet — Suávviljäävrih (SA 1963)
Harrijärvi — Suávviljävri (Ǩ)
Harrijärvi — Suávviljävri — Suä ́vvel­ jäu ́rr (JM)
Harrijärvi — Suávviljävri — Suä ́vvel­ jäu ́rr (1)
Harrijärvi — Suávviljävri — Suä ́vvel­ jäu ́rr (SA 1964,  Ǩ+ 1, JM)
Harrijärvi — Suä ́vveljäu ́rr (Ǩ+  1)
Harrijärvi — Suávviljävri (Ǩ)
Harrijärvi — Suávviljävri (3832)
Harrijärvi — Suávviljáávráš (SA 1964)
Harrijoki — Suávviljuuvâš (SA 1964)
Harrilompola — Kuhesluobâl (MML, JMS Ǩ005)
Harrioja — Suávviljuuvâš (1)
Haukijärvet — Puškojávrááh (1)
Haukijärvi — Nu ́ǩǩešjäu ́rr (MML Ǩ006)
Haukijärvi — Puškojáávráš (SA 1964)
Haukilahti — Nu ́ǩǩešluhtt (MML)
Haukilampi — Nu ́ǩǩešluubbâl (MML)
Haukkajärvi — Čievčjáávráš (Ǩ+  1)
Hautuumaasaari — Hävdieennâmsuá­ lui (1)
Hämähäkkijärvi — Evnháájävri (1, YAS)
Hämähäkkiniemi — Evnnjargâ ~ Äv­ njargâ (LL 1981)
Hämähäkkisaari — Evnháásuáloi)
Hämähäkkivuopaja — Evnháávyep­ pee (1, YAS)
Härjänhirttymäjärvi — Eergikákká­ semjävri (1, SSS)
Härkäjärvi — Ergijävri (TII 1963)
Härkäjärvi — Ergijävri (SA 1964)
Härkävaara — Ergivääri (3832, TII 1963)
Härkävaara — Ergivääri (LL 1981)
Härkävaara — Ergivääri (SA 1964)
Heikinsaaret — Hendrihlássááh (YAS)
Heinäaronjärvi — Syeinikuovđâ­ jáávráš (SA 1964)
Heinäkaltiovaara — Syeinikäldeevääri)
Heinäkuoppa — Sinokope (MML, YAS)
Heinäkuoppajärvi — Syeinikyepjááv­ ráš (YAS)
Heinälompola — Syeiniluobâl (SA 1964)
Heinämätäslaassa — Syeinimiehtláás­ sáš (YAS)
Helanderin Kotajärvi — Helander Kuátijävri — Helander Kue ́ttjäu ́rr (EPA, JM)
Henkselilaassa ~ Henkseliniemi — Hä1kselláássáš (TII 1963)
Hento­Matinjärvi — Hento­Matin jäu ́rr (MML Ǩ006)
Hentun Matin Tupalammet — Heen­ du Maati Tupelááduh (3834)
Hetekajärvi — Hetekajäu’rr (MS)
Hevosenkenkäjärvi — Heävaškaammi­ jäu’rr (MML Ǩ006)
Hevosoaivi — Hiävušuáivi — Heabuš­ oaivi — Heävašvuei ́vv (MML,  Ǩ)
Hevossaari — Heastasuolu — Heävuš­ suâl — Hiävušlássá (MML,  Ǩ, EPA)
Heyvetjärvi — Hevvitjävri (SA 1964)
Hiekkalaassa — Čunoiláássáš (YAS)
Hietajärvet — Vuodâsjávrááh (SA 1964)
Hietajärvi — Pajebuš vuodâsjáávráš — Vuõddâsjäu ́rr (1, SA 1964, MML)
Hietajärvi — Vuodâsjävri (3832)
Hietajoensuu — Vuodâsjuvnjälmi (SA 1963)
Hietasaari — Sammlii Vuodâssuálui)
Hietikkokoski — Čunoikuoškâ (YAS)
Hietikkolahti — Čunoiluohtâ (SA 1964)
Hietikkolompola — Čunoiluobâl ~ Čievrâluobbâlâš (SSS)
Hiiriaittasaari — Säpligsuálui (LL 1981)
Hiirijärvet — Säbligjäävrih (1, SA 1964)
Hiiriniemi — Säplignjargâ — Sä ́ppli­ njargg (1, SA 1964, MML)
Hiiriniemi — Säplignjargâ (1)
Hiirisaari — Säpligsuálui — Sä ́pplisuâl (1)
Hiiri­Matin Tervahautasaari — Pikkâ­ hävdisuálui (1, ES)
Hillasaaret — Lyemesuolluuh (EA)
Hirsijärvet — Hirssjääu’r (MML Ǩ006)
Hirvasjärvi — Sââ ́rvesjäu ́rr (SA 1964)
Hirvasjärvi — Sarvesjävri (3831)
Hirvasjoki — Sarvesjuuhâ (3831)
Hirvassaaret — Sarvessuolluuh (EA)
Hirvassaaret — Sarvessuolluuh (EA)
Hirvasselkä — Sââ ́rvesčiõ ́lj (MML Ǩ006)
Hirvasvaara — Sarvesvääri (3831, JAM Ǩ003)
Hirvilaassa — Sorvâsuálui (MML, SA 1964)
Hirvinuora — Sorvânyeri (YAS)
Hoikka Petäjäsaari — Segispecsuálui)
Hoikkaniemi — Segisnjargâ (TN Ǩ003, TII 1963)
Holhosaari — Holhoosuálui (SA 1964)
Honkalahti — Suárviluohtâ (EA)
Honkaniemensaari — Suárváánjarg­ suálui (1, TII Ǩ963)
Honkaniemi — Suárvinjargâ (LL 1981)
Honkaniemi — Suárváánjargâ (TII 1963)
Hoorepinvaara — Hoorepvääri (LL 1977)
Hopiakivisaaret — Silbâkiäđgáásuol­ luuh (EA)
Hopialampi ~ Hopiajärvi — Silbâjááv­ ráš (1, AWG 1897)
Hopiavaara — Silbâvääri ~ Silbâváá­ rááš (1)
Housuniemi — Puksnjargâ (TII 1963)
Houvinkotajärvi — Sundeekuátjävri)
Houvinkotapää — Sundeekuáti (3832)
Houvinkotavaara — Sundeekuátváá­ rááš (3832, JAM Ǩ003)
Huhujärvi — Jaškkjäu ́rr — Puolžâjävri)
Huihojärvi — Huihoojáávráš (YAS)
Huiholahti — Huihooluohtâ (YAS)
Huihoniemi — Huihoonjargâ (EA)
Huihosaaret — Huihoosuolluuh (EA)
Huihosaari — Huihoosuálui (EA)
Huikkimalaassa — Huikkemlássá)
Hukanulvomajärvi — Kuumpiolvom­ jävri (SSS)
Hukanulvomaoja — Kuumpiolvom­ juuvâš (YAS)
Hukkajärvet — Kumppijäävrih (3832, LL 1981)
Hukkajärvi — Kumppijáávráš (SA 1964)
Hukkalammet — Kumppijávrááh (SA 1964,  Ǩ+ 12)
Hukkalampi — Ku ́mppluubbâl (MML Ǩ006)
Hukkamorosto — Kumppimoorâst)
Hukkavaara — Ku ́mppvää ́rr (MML Ǩ006)
Hurttajärvi — Hurttejáávráš (TII 1963)
Hurttariutta — Hurtteváárááš (TII 1963)
Huutojärvi — Olvomjävri — Čuârvvam­ jäu ́rr (SA 1964, MML)
Hyljelahdenjärvi — Nuárjáluovtjáávráš ~ Nuárjájävri (1, EA)
Hyljelahti — Nuárjáluohtâ (EA)
Iisakinjärvi — Lerkkâ­Issáák jáávráš)
Iisakkijärvi — Isákkáájävri (1)
Iiskonniemi — Isánjargâ (Ǩ)
Iivarinlaassat — Ivváárlássááh (EA)
Ikkerinniemi — Ikkernjargâ (YAS)
Ikkerinsaari — Ikkersuálui (YAS)
Ikkerinvuono — Ikkervuonâ (YAS)
Ikkerjärvi — Ikkerjáávráš (3834)
Ikkerlompola — Ikkerluobbâlâš (3834)
Ikkervaara — Ikkerváárááš (3834)
Ilkiäjärvenoja — Ilgeejävrjuuvâš (LL 1977)
Ilkiäjärvi — Ilgeejävri (LL 1977)
Ilkiävaara — Ilgeevääri (LL 1977)
Illeppivaara — Illepváárááš ~ Illep­ vääri (SA 1964, HTV)
Ilpisjärvi — Ilbisjävri ~ Ilbisjáávráš)
Iltasaari — Ildájáásuáloi ~ Ildájáásuá­ lui (HTV)
Iltavellinlammet — Ehidâsmááláájáv­ rááh (1, ES)
Inari — Aanaar — Anár — Aanar)
Inarijärvi — Aanaarjävri — Anárjáv­ ri — Aanarjäu ́rr (JM 1998)
Ingan Kuppijärvi — Igá Koppâjáávráš)
Inkerinjärvi — Inkerijäu ́rr (MML, JM)
Irvassaaret — Irveesuolluuh (3832)
Iso Ahvenjärvi — Stuorrâ Vuáskujäv­ ri — Jõnn Vuâskjäu ́rr (VS)
Iso Ahvenjärvi — Stuorrâ Vuáskujäv­ ri (3834)
Iso Ahvenjärvi — Vuáskujävri (LL 1977)
Iso Arttajärvi — Stuorrâ Árttáájävri)
Iso Harrijärvi — Stuorrâ Suávviljäv­ ri — Jõnn Suä ́vveljäu ́rr (1, JM 1998)
Iso Hiirijärvi — Stuorrâ Säpligjävri — Sä ́pplijäu ́rr (SA 1964)
Iso Jääsaari — Jie1âsuálui (Ǩ)
Iso Kalliovaara — Källeeváárááš ~ Stuárráb Källeeváárááš (3834, SA 1964)
Iso Kapaselkä — Ruánniháittáájor1â)
Iso Kapperijärvi — Stuorrâ Kappeer­ jävri (Ǩ+ 1)
Iso Korppijärvi — Stuorrâ Káránâsjäv­ ri (4812)
Iso Kotsamojärvi — Kuáccámjáávráš)
Iso Kuivajärvi ~ Pommilampi — Koške­ jävri (3832, JAM Ǩ003)
Iso Laklemijärvi — Stuorrâ Lagglim­ jävri (1)
Iso Luosmajärvi — Stuorrâ Luovtâsmáájävri ja Pikku Luosmajärvi — Uccâ Luovtâsmáájävri)
Iso Luosmajärvi — Stuorrâ Luovtâs­ máájävri (1)
Iso Mielikköjärvi — Mielâhjáávráš)
Iso Paskuljärvi — Paskuljävri (SA 1964)
Iso Pielpajärvi — Piälppáájävri ~ Piäl­ báájävri ~ Stuorrâ Piälppáájävri (TII 1963)
Iso Pihtijärvi — Postjävri (3832, JAM Ǩ003)
Iso Rovijärvi — Stuorrâ Ruávijävri — Ruä ́vjäu ́rr (1)
Iso Ruohojärvi — Stuorrâ Ruáhujäv­ ri (3834)
Iso Saarijärvi — Stuorrâ Suollušjävri)
Iso Siikajärvi — Stuorrâ Šapšjävri — Jõnn Šapššjäu ́rr (Ǩ)
Iso Suorsajärvi — Cuássáájävri (TII 1963)
Iso Taimenjärvi — Kuávžurjävri — Jõnn Ku ́vˆˆjäu ́rr (Ǩ+ 1)
Isojärvi — Stuorrâjävri — Jõnnjäu ́rr)
Isolahti — Stuorrâluohtâ (1)
Isonkivenjänkä — Stuorrâkeđgjeggi)
Isonkivenjärvi — Stuorrâkeđgjáávráš)
Isonkivenlampi — Stuorrâkeđglááduš)
Isosaari — Stuorrâsuálui — Jõnnsuâl (JM)
Isosaari — Stuorrâsuálui (YAS)
Isotaival ~ Isojuurakko — Stuorrâmyet­ ki (TII 1963, 3832)
Isovaara ~ Mäntyvaara — Stuorrâ­ vääri (3814, LL 1978)
Isovaaranoja — Stuorrâvärjuuvâš (LL 1978)
Iso­Roiro — Roiro ~ Ruáiru (1)
Iso­Saunari ~ Saunari — Sáv1ár ~ Sevnjârâš (J)
Iso­Söimi — Čyeiminsuálui (1)
Itä­Kapperijärvi — Nuorttiimus Kap­ peerjävri (Ǩ+ 1)
Ivalo — Avveel — Avvil — Â ́vvel (3832, TII 1963, JM 1998)
Ivalojoensuu — Avveelnjälmi ~ Avveelnjálmádâh (TII 1963)
Ivalojoki — Avveel ~ Avveeljuuhâ — Avviljohka — Â ́vveljokk (3832, TII 1963, JM 1998)
Ivansaari — Ivásuálui — Ivansuâl)
Jaakkolanjärvi — Jaakkolanjäu ́rr (MML Ǩ006)
Jaakonsaari — Jákusuálui (1, AS)
Jaaranuora — Vierccânyeri (Ǩ)
Jaarasaaret — Vierccâsuolluuh (3832)
Jaarasaari — Vierccâsuálui (SA 1964)
Jaarasaari — Vierccâsuálui (YAS)
Jalkakivi ~ Päällyskivi — Pajalâskeđgi)
Jatkosaari — Jotkâsuálui (1)
Jäälahti — Jie1âluohtâ (EA)
Jääluola ~ Luola — Jie1âkuovđâšm)
Jäänuottajärvi — Jie1ânyettijáávráš)
Jääsaaret — Jie11âsuolluuh (TII 1963)
Jäkälämorosto — Jävilmoorâst (SA 1964)
Jäkälännostojärvi — Jävilkoccoom­ jáávráš (SA 1964)
Jäkäläsaaret — Jävilsuolluuh (LL 1981)
Jäkäläsaari — Jävilsuálui — Jee ́elsuâl (EPA, MML)
Jäkäläsaari — Jee ́elsuâl — Jävilsuálui (EPA)
Jäkälä­Kapperijärvi — Jäävvil­Kap­ peerjävri (Ǩ+ 1)
Jäkälä­Saunari — Jävilsáv1ár (EA)
Jäniskarinsaaret — Njuámmilkárgu­ suolluuh (SA 1963)
Jäniskoski — Njuámmilcooskâs (TII 1963)
Jänisniemi — Njuämmelnjargg — Čevetnjargâ — Čeavetnjárga (Ǩ)
Jänisniemi — Njuámmilnjargâ (YAS)
Jänisselkä — Njuámmilčielgi (1)
Jänkäjärvenpää — Jeggijävruáiváš)
Jänkäjärvi — Jeggijävri (3832)
Jänkäsaari — Jeggisuálui (SA 1964)
Jänkä­Viipassaari — Vijbbáásuálui ~ Jeggi­Vijbbáásuálui (EA)
Järvenpää — Jävrikeeči (VS, SA 1964)
Järvenpää — Jävrikeeči (SA 1964)
